index,Website,타이틀,설명,Cnt,기타,환경정책,지구환경,환경보건,자원순환,기후변화,자연환경,환경영향평가,대기환경,물환경,KR_Keywords,EN_Keywords,CID
10891,http://www.law.go.kr/admRulSc.do?menuId=1,,,1,0,0,0,0,0,1,0,0,0,0,",토지이용통합모델, 토지이용·피복 변화, 현 상태 유지 시나리오, 정확도 검증",",Integrated land-use model, Land-use and land-cover change, Business-as-usual scenario, Accuracy assessment",",707870"
9964,http://www.agrinet.co.kr/news/articleView.html?idxno=131335,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
10889,http://eiasas.eiass.go.kr/main.do,,,1,0,0,0,0,0,1,0,0,0,0,",토지이용통합모델, 토지이용·피복 변화, 현 상태 유지 시나리오, 정확도 검증",",Integrated land-use model, Land-use and land-cover change, Business-as-usual scenario, Accuracy assessment",",707870"
9959,http://www.korcham.net,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705666"
10888,http://www.index.go.kr/potal/main/EachDtlPageDetail.do?idx_cd=2728,,,1,0,0,0,0,0,1,0,0,0,0,",토지이용통합모델, 토지이용·피복 변화, 현 상태 유지 시나리오, 정확도 검증",",Integrated land-use model, Land-use and land-cover change, Business-as-usual scenario, Accuracy assessment",",707870"
10887,http://www.keco.or.kr/kr/business/water/contentsid/1540/index.do.,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
10886,http://usaidprojectstarter.org/sites,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
10885,http://www.wmis.go.kr,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
10884,http://rhms.river.go.kr.,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
9966,http://www.nongmin.com/article/ar_detail.htm?ar_id=240694&subMenu=articletotal,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
