C_ID,CLASS_ID,CLASS_NAME,RECORD_STATE,CREATE_DATE,MODIFY_DATE,DC_IDENTIFIER,DC_TYPE,KEI_TITLEKOREA,KEI_TITLEENGLISH,KEI_ALTERNATIVETITLEKOREA,KEI_ALTERNATIVETITLEENGLISH,KEI_SERIESMAINTITLE,KEI_SERIESNUMBER,KEI_AUTHORKOREA,KEI_AUTHORENGLISH,KEI_COAUTHORKOREA,KEI_COAUTHORENGLISH,KEI_COPERATEMANAGERKOREA,KEI_COPERATEMANAGERENGLISH,KEI_COPERATEAGENT,KEI_PUBLISHER,KEI_PUBYEAR,KEI_AGENTNAME,KEI_RESEARCHAREA,DC_LANGUAGE,KEI_OPENMETA,KEI_OPENIMAGE,KEI_TOTALPAGECOUNT,KEI_KEYWORDKOREA,KEI_KEYWORDENGLISH,SERVICE_URI
652818,4,기본연구,u,19990324,20120112,A 환1185 1998 RE-02,기본연구,거시환경경제모형 개발에 관한 연구 Ⅰ,Macro Environmental-Economic Modelling I,,,연구보고서,Feb-98,정영근,"Chung, Young-Keun",한민정,,,,,한국환경정책·평가연구원,19981230,,정책일반,한국어,,,"vi, 170p.",,Environmental policy- Econometric model,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE02]거시환경경제(정영근).pdf
652819,4,기본연구,u,19990324,20170703,A 환1185 1998 RE-03,기본연구,종합적 환경관리체계의 개선방안 연구,Study on the Comprehensive Improvement of Environmental Management System,자율환경관리의 활성화 방안,,연구보고서,Mar-98,정회성,"Jeong, Hoi-seong",강철구,"Kang, Cheul-Gu",,,,한국환경정책·평가연구원,19981230,,정책일반,한국어,,,"ix, 231p.",,Voluntary agreement(VA),http://library.kei.re.kr/dmme/img/001/003/001/[98_RE03]종합적환경관리체계(정회성).pdf
652820,4,기본연구,u,19990326,20120113,A 환1185 1998 RE-04,기본연구,폐기물발생억제 정책의 평가와 발전방향,Policy Direction for Electric and Electronic Waste Management,전기·전자폐기물 관리방향,,연구보고서,Apr-98,김광임,"Kim, Kwang-Yim",,,,,,한국환경정책·평가연구원,19981230,,폐기물관리,한국어,,,"ix, 231p.",,Waste minimization,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE04]폐기물발생억제(김광임).pdf
652821,4,기본연구,u,19990326,20120117,A 환1185 1998 RE-05,기본연구,수계 수질개선을 위한 효율적인 관리체계 및 적정 투자·비용분담 정책에 관한 연구,Efficient Management Structures and Policies for Water System Management,,,연구보고서,May-98,문현주,"Moon, Hyun-Joo",,,,,,한국환경정책·평가연구원,19981230,,정책일반,한국어,,,"vii, 116p.",,Watershed management,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE05]수계수질(문현주).pdf
652822,4,기본연구,u,19990326,20170703,A 환1185 1998 RE-06,기본연구,환경영향평가제도의 사회·경제환경분야 개선방안연구,Study on the Promotion of Socio-Economic Environmental Assessment,,,연구보고서,Jun-98,남영숙,"Nam, Young-Sook","구도완,금기용","Koo, Do-Wan,  Keum, Ki-Yong",,,,한국환경정책·평가연구원,19981230,,환경영향평가,한국어,,,"vii, 215p.",,Social indicators,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE06]환경영향평가제도(남영숙).pdf
652823,4,기본연구,u,19990326,20120116,A 환1185 1998 RE-07,기본연구,환경안전분석제 도입에 관한 연구,Research on the Implementation of the Offsite Consequence Analysis,,,연구보고서,Jul-98,박정규,"Park, Jeong-Gue",,,,,,한국환경정책·평가연구원,19981230,,위해성관리,한국어,,,"vi, 226p.",,Offsite consequence analysis,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE07]환전안전분석죄(박정규).pdf
652824,4,기본연구,u,19990326,20120113,A 환1185 1998 RE-08,기본연구,호소 및 하천 오염퇴적물 관리방안,Management Strategies for Contaminated Sediments in the Lakes and Rivers,,,연구보고서,Aug-98,이창희,"Lee, Chang-hee",김은정,"Kim, Eun-Jeong",,,,한국환경정책·평가연구원,19981230,,물환경,한국어,,,"vi, 138p.",,Water- Pollution,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE08]오염퇴적물(이창희).pdf
652825,4,기본연구,u,19990326,20170703,A 환1185 1998 RE-09,기본연구,농업지역 비점오염원 관리방안 연구,Management Practices for Agricultural Non-point Source Control,,,연구보고서,Sep-98,최지용,"Choi, Ji-Yong",신은성,"Shin, Eun-Seong",,,,한국환경정책·평가연구원,19981230,,물환경,한국어,,,"vii, 160p.",,Water quality management,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE09]농업비점(최지용).pdf
652826,4,기본연구,u,19990326,20120118,A 환1185 1998 RE-12,기본연구,우리나라 환경법체계 정비에 관한 연구 Ⅱ,Improvements for Environmental Law in Korea II,"환경정책기본법, 상수원보호 및 그린벨트지역 법령정비를 중심으로",,연구보고서,Dec-98,노상환,"Lho, Sang-whan","홍준형,이상돈",,,,,한국환경정책·평가연구원,19981230,,정책일반,한국어,,,"ii, 350p.",,Land use,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE12]환경법렵체계(노상환).pdf
652827,4,기본연구,u,19990329,20170630,A 환1185 1998 RE-13,기본연구,중소기업의 환경관리 유인정책 개선방안,Environmental Policies for Small and Medium-sized Enterprises,,,연구보고서,98-13,장기복,"Chang, Ki-Bok","이승규,임채윤,정호선",,,,,한국환경정책·평가연구원,19981230,,정책일반,한국어,,,"xv, 364p.",,Small and midium sized enterprises,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE13]중소기업환경관리(장기복).pdf
